territory,habitat,hectare,country,hectare_UpperCI,hectare_LowerCI,stock_MgHa_mean,n,stock_MgHa_se,stock_MgHa_upper_CI,stock_MgHa_lower_CI,n_sites,TierIII_mean,TierIII_LowerCI,TierIII_UpperCI,tierII_gtlt_tier_I,tier_II_overlaps_TierI,tierIII_gtlt_tier_II,tierII_overlaps_tierIII,tierIII_gtlt_tier_I,tierIII_overlaps_tierI,text_position,TierI_mean,TierI_LowerCI,TierI_UpperCI,compiled_EF,compiled_UpperCI,compiled_LowerCI,TierIorII,Total_Stocks,Total_Stocks_se,Total_Stocks_UpperCI,Total_Stocks_LowerCI,Total_SE,Total_Stockers_UpperCI,Total_Stockers_LowerCI
Iraq,marsh,179.71506682052316,Iraq,203.16502826268675,108.85540072355062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,45827.34203923341,6443.891310288132,58199.61335498662,33455.070723480196,NA,NA,NA
Iraq,seagrass,NA,Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Bonaire,mangrove,219.17305991881128,Netherlands,254.08184602131595,192.44786071715706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,84600.80112866116,7313.854018564462,98643.40084430492,70558.20141301739,NA,NA,NA
Bonaire,marsh,0,Netherlands,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Bonaire,seagrass,NA,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Dominica,mangrove,NA,Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,NA,NA,NA,NA,NA,NA,NA
Dominica,marsh,NA,Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,NA,NA,NA,NA,NA,NA,NA
Dominica,seagrass,265,Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,28620,NA,NA,NA,NA,NA,NA
Saint Pierre and Miquelon,mangrove,0,France,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Saint Pierre and Miquelon,marsh,272.82772579807647,France,308.4274101401099,165.25476659062764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,69571.0700785095,9782.55325265321,88353.57232360366,50788.567833415334,NA,NA,NA
